Type,Removed_stopwords
0,اجراءات بطيئة للغاية ايران تلجا الى اقسى حالات الاغلاق للحد كورونا
0,عقد الثورة الاقتصاد السوري القاع واقتصاد الظل يتمدد البلاد
0,الحكومة العراقية تقر مبدا الدفع المسبق لمبيعات النفط لمواجهة ازمتها المالية
0,اتحاد جدة ينهي ازمته المالية الترجي
0,تعاون مرتقب سوق ابوظبي والاوراق المالية الاسرائيلية
0,هيئة الاوراق المالية الامريكية تشعل جهة صراع جديدة ريبيل
0,بتكوين تبلغ الف لاول مرة
0,تكوين تفقد مستويات هامة وتخسر مليار
0,قطر تبدا اجراءات قانونية ضد بنك ابو ظبي الاول نزاع بشان تلاعب بالسوق
0,بنك ابوظبي الاول يباشر بنقل الاسهم لاتمام استحواذه راسمال بنك عوده مصر
0,مكاتب سياحة ستغلق مكاتبها وتسرح موظفيها
0,رم نشاط ملحوظ لحركة الزوار المخيمات السياحية قبيل رمضان
0,قادتها تعهدوا بتوزيع عادل للقاح مجموعة العشرين تدرس منح مليار جرعة ضد كورونا لتصل للفقراء
0,الصحة العالمية نهدف لتصنيع مليار جرعة لقاح كورونا بحلول نهاية
0,دبي المالي العالمي يوقع اتفاقية بنك اسرائيلي
0,اتفاقية تعاون البنك العربي وشركة الحوسبة الصحية الدولية
0,الاتحاد للطيران توسع مسار التعاون العال الاسرائيلية
0,مذكرة تفاهم مصر والاردن مجال تكنولوجيا المعلومات
0,افتتاح معبر عرعر العراق والسعودية اغلاق عاما
0,رغم كورونا زيادة حجم التبادل التجاري تركيا وتشاد
0,امريكا ترفع حظر تحليق طائرة بوينغ ماكس
0,مروحية ناسا تحقق بنجاح اول عملية طيران الغلاف الجوي للمريخ
0,ارامكو السعودية تبيع سندات بـ مليارات لتمويل توزيع سندات بـ مليلرات
0,مصر تبيع سندات دولارية بـ مليارات
0,الخطوط القطرية ضمن الشركات رفعت نيجيريا الحظر المفروض عنها
0,خسائر الطيران العالمي تصل لـ مليار لعام
0,اكد الرئيس التنفيذي لبنك قطر للتنمية ان البنك استطا المساهمة جهود الدولة للتصدي لتداعيات جائحة فيروس كورونا المستجد
0,بنك قطر الاول يتحول للربحية الربع الاول بدعم التخارجات
0,تراجع ارباح شركة ارامكو السعودية بنحو لتصل الى مليار
0,سنيورة تصادق توزيع ارباح بقيمة مليون
0,ايران احتجاجات استمرار نزف البورصة
0,الاسد يصدر مرسوما لضبط الاسعار سجن وغرامات بحق المخالفين
0,تحسن مفاجئ لليرة التركية سلسلة خسائر تجاوزت الـ بالمئة
0,لبنان تراجع سعر الدولار مقابل الليرة فى تعاملات اليوم
0,وزارة التخطيط العراقية مشروعا مهددا بالتوقف بسبب الازمة المالية
0,الجزائر تلجا الى اوروبا لتجاوز الازمة المالية‎
0,ارتفاع البطالة بالسعودية انكماش الاقتصاد بالربع بسبب كورونا
0,اكثر نصف الاردنيين يصنفون الوضع الاقتصادي سلبيا
0,اتفاق الغاز الطبيعي قطر وسنغافورة يعرض تفاصيل انبعاثات الكربون اخبار الشرق الاوسط
0,توقيع اول اتفاق تعاون بنكين اسرائيليين وثالث بحريني
0,الاسواق تضاعف مكاسبها اعلان فايزر نجاح لقاح كورونا
0,الاسهم الامريكية تهبط بسبب تضرر اسهم السفر قفزة الاصابات
0,قفزة كبيرة باسعار الوقود السودان واستياء شعبي
0,تونس ترفع اسعار الوقود لخفض العجز الموازنة العامة
0,هبوط شديد لليرة التركية قرار اردوغان اقالة محافظ البنك المركزي
0,البنك المركزي التركي يبقي الفائدة معدلها اي تغيير
0,النفط يهوي بسبب جائحة كورونا ورئاسيات امريكا
0,النفط يتعافى خسائره ويصعد الى الاعلى
0,الكاظمي يفتتح البرج الاضخم بصناعة الغاز ارطاوي بالبصرة
0,اذربيجان تخفض انتاج النفط وترفع انتاج الغاز الطبيعي الربع الاول
0,الاردن انخفاض الانفاق الحملات الانتخابية يكرس ركود الاسواق
0,توقعات فلسطينية بحل قريب لمسالة العوائد المالية اسرائيل
0,الليرة التركية تتهاوى امام الدولار
0,تركيا تحظر استخدام العملات المشفرة المدفوعات
0,ارباح مجموعة ارامكو الصافية تتراجع بنسبة المئة بسبب انخفاض اسعار النفط
0,ارباح المتحدة للتنمية تتراجع بالربع الاول
0,السعودية ارتفاع قيمة القروض الممنوحة البنوك للمؤسسات الحكومية والقطاع الخاص الى مليار بنهاية
0,توافق البنوك تاجيل اقساط قروض الافراد الشهر المقبل
0,الاقتصاد البريطاني يواجه تهديد اغلاق مدمرا خلفية كورونا
0,الاقتصاد البريطاني ينتعش رغم القيود المرتبطة بالجائحة
2,راموس يقترب الرحيل مدريد
2,مدريد مهدد بتلقى عقوبة الاتحاد الاوروبي
2,البرق يقتل بطلة الشراع اثناء تدريبها البحر
2,بطلة رياضية تطمح لخلافة ميركل
2,مورينيو تخطي استون فيلا احتجنا هزيمة فظيعة لتحقيق الفوز
2,مورينيو يبعث رسالة مصالحة الى لاعبي توتنهام الفوز استون فيلا
2,برشلونة يواصل مطاردة اتلتيكو ويكتسح سوسيداد بستة اهداف
2,برشلونة يدرس استعادة لاعبه السابق ارسنال
2,بفضل اوبلاك وسواريز اتلتيكو مدريد يهزم الافيس ويحصن صدارة الليجا
2,اتلتيكو مدريد وانتر ميلان ينسحبان السوبر ليج
2,ليستر سيتي يهزم مانشستر يونايتد بثلاثية ويتاهل لنصف نهائي كاس الاتحاد الانجليزي
2,ليستر سيتي يواجه تشيلسي نهائي كاس انجلترا
2,ميلان يفلت كمين فيورنتينا بفوز صعب ويواصل مطاردة انتر بالدوري الايطالي
2,رسميا ميلان يلحق بانتر ويتخلى المشروع الوليد
2,لاعبين واعدين انظار بلماضي كاس افريقيا
2,الترجي التونسي يفاجئ جماهيره بابرز اكتشافات الدوري الجزائري
2,بينفينتو يفسد احتفالية رونالدو ويسقط يوفنتوس الدوري الايطالي
2,يوفنتوس فرصة لاستكمال دوري السوبر الاوروبي
2,هالاند يغادر ملعب مباراة دورتموند غاضبا
2,دورتموند يحيي اماله التاهل لدوري الابطال بالفوز اونيون برلين
2,مانشستر سيتي يحتفل باكثر رقم قياسي الفوز ايفرتون
2,مانشستر سيتي يعزز صدارته للدوري الانكليزي بالفوز استون فيلا
2,سقوط طائرة مسيرة اثناء مباراة بالدوري الاسباني ملعب فريق اتلتيك بيلباو
2,بنزيما يتفوق كريستيانو رونالدو الدوري الاسباني
2,بنزيما يقود مدريد مواصلة قطار الانتصارات بفوز صعب سيلتا فيغو
2,مدريد مهدد بتلقى عقوبة الاتحاد الاوروبي
2,رسميا عدم السماح للجماهير خارج اليابان بحضور الاولمبياد
2,قرعة اولمبياد طوكيو مواجهات صعبة لممثلي الكرة العربية
2,مالك تشيلسي يدافع سياسة طرد المدربين
2,تشلسي يفوز بورتو ويضع قدما بنصف نهائي لدوري ابطال اوروبا
2,المال وحده يكفي لحسم انتقال مبابي وهالاند لريال مدريد
2,اخبار مدريد بيريز رئيسا لدوري السوبر الاوروبي وبوتشيتينو واثق بقاء مبابي
2,اسبوع حاسم لريال مدريد الدوري الاسباني والاوروبي
2,تشيفرين يلمح لمنع مدريد نصف نهائي الابطال وبيريز يرد
2,نبيل فقير يصبح حديث المتابعين حول العالم بهدف الـ مارادوني
2,الدوري الاسباني يخطط لعودة الجماهير
2,رونالدو يحصد جائزة افضل لاعب الدوري الايطالي لموسم
2,الدوري الايطالي نابولي يكتسح لاتسيو
2,اقصاء توتنهام الدوري الاوروبي امام دينامو زغرب
2,برشلونة يوقع اتفاقية الانضمام لبطولة الدوري الاوروبي الممتاز
2,نتائج قرعة ربع نهائي الدوري الاوروبي تسفر مواجهات مثيرة
2,يعلن قرعة ربع نهائي دوري ابطال افريقيا اون لاين ابريل
2,مدريد مهمة صعبة وباريس يصطدم ببايرن ميونيخ
2,بايرن ميونخ يحقق فوزا بطعم العلقم باريس سان جيرمان
2,مورينيو يهاجم لاعبي توتنهام وداع الدوري الاوروبي امام دينامو زغرب
2,سون يقود توتنهام الى اول فوز حقبة مورينيو
2,دينامو زغرب يقصي توتنهام بثلاثية اورسيتش ويبلغ دور الثمانية بالدوري الاوروبي
2,توتنهام يتواصل خليفة مورينيو
2,ظاهرة مالوفة هالك البرازيلي يفقد كيلو عقب مباراة
2,المانيا امام فرصة اوليمبية للثار البرازيل
2,اختار عدد المشجعين توجيه اللوم الى لاعب المنتخب البلجيكي الاصابة الجديدة لهازارد
2,هازارد جاهز للمشاركة مدريد امام بيتيس
2,الشاب انريكي ريكيلمي مليونير وسيم ينافس بيريز رئاسة مدريد
2,مدريد مهدد بالخروج ابطال الاوروبا
2,اصل المدربون الالمان يغزون ربع نهائي دوري الابطال
2,نيمار افضل لاعب مباريات اياب ربع نهائي دوري ابطال اوروبا
2,توخيل مدرب تشيلسي يصنع تاريخ النادي باطول بداية بدون هزيمة
2,تفوق ايراني ونتائج كارثية للاندية العراقية دوري الابطال
2,تاهل تاريخي لبايرن ميونيخ وتشيلسي ينهي عقدة ربع نهائي ابطال اوروبا
2,موعد ونظام قرعة ربع نهائي دوري ابطال افريقيا
2,حيرة مدريد ومنتخب بلجيكا حول اصابة هازارد
2,تصريحات مثيرة بيريز ايقاف مشروع السوبر ليج
2,جماهير الزمالك تهاجم وزير الرياضة المصري وتطلب اقالته
2,الاهلى يطلب اتحاد الكرة تاجيل مباراة القمة امام الزمالك
2,مدريد يضرب اتالانتا بثلاثية ويتاهل الى ربع النهائي
2,بيريز يحسم مستقبل زيدان وفينيسيوس مدريد ويشكر مورينيو
2,مانشستر سيتي يكرر فوزه جلادباخ بهدفين ويتاهل لربع نهائي دوري الابطال
2,اربعة اندية تنضم الى مانشستر سيتي الانسحاب بطولة سوبر ليغ
2,دوري ابطال افريقيا مولودية الجزائر يهزم تونجيث بهدف ويقترب التاهل لربع نهائي البطولة
2,الخروج الحزين الزمالك يودع ابطال افريقيا
2,الوداد يتاهل رسميا الى ربع نهائى دورى ابطال افريقيا التعادل حوريا
2,مدربان تونسيان راس قطبي الكرة المغربية الرجاء والوداد
2,الاهلي يقسو فيتا كلوب بثلاثية نظيفة دوري ابطال افريقيا
2,الاهلي المصري يفقد النقاط الثمينة بتعثره امام سموحة الوقت القاتل
2,بسبب كثرة اصاباته جماهير مدريد تطالب برحيل هازارد وعودة رونالدو
2,زيدان يصدم جماهير مدريد بهوية الغائبين مباراة قادش
2,الاتحاد السعودي يغلق قضايا المعلقة
2,الاتحاد السعودي يحدد عدد اللاعبين الاجانب بالموسم المقبل
2,حارس ولفرهامبتون يتعرض لاصابة خطيرة خلال محاولته ايقاف صلاح
2,هنري مالك ليفربول يتقدم بالاعتذار ازمة دوري السوبر الاوروبي لكرة القدم
2,برشلونة يلاحق اتلتيكو مدريد برباعية هويسكا بالدورى الاسبانى
2,برشلونة يخطط للتعاقد مهاجم سوسيداد الشاب
2,اصابة جديدة لهازارد عضلات الساق اليسرى
2,قيمة هازارد السوقية تواصل تراجعها القياسي
2,اكثر الف اختطاف وسطو مسلح منزلي نجمي باريس جيرمان
2,الدوري الفرنسي هدف قاتل لايكاردي يضع سان جيرمان نقطة ليل
2,رونالدو يهزم كالياري ويقود يوفنتوس الى وصافة الدوري الايطالي
2,نابولي يكتسح لاتسيو بخماسية الدوري الايطالي
2,ترتيب ارسنال الدوري الانجليزي الفوز توتنهام فى ديربي لندن
2,عاصفة السوبر الاوروبي تدفع ملاك ارسنال لبيعه
2,لاميلا يخطف الانظار بهدف عالمي ديربي توتنهام وارسنال
2,جاريث بيل ينتقد طريقة لعب مورينيو اقالته تدريب توتنهام
2,الدوري الايطالي الانتر يحلق وميلان يسقط ويوفنتوس يطارد الوصافة
2,اتليتكو وانتر يلحقان بالاندية المنسحبة مشروع سوبر ليج
2,زيدان يوضح سبب تغيير طريقة لعب مدريد امام التشي
2,زيدان حدث امر سخيف وهذا النادي احمله قلبي
2,فترة طويلة بدا ان ليفاندوفسكي طريقه لتجاوز رقم المستحيل الدوري الالماني
2,اهداف الثلاثاء بايرن ميونخ يفوز ليفركوزن الدوري الالماني
2,مانشستر سيتي يواصل سلسلة انتصاراته ويعزز صدارته للبريميرليغ
2,التايمز مبعوث جونسون حذر الامارات بتاثر العلاقات شارك مانشستر سيتي دوري السوبر الاوروبي
2,شائعات متوقعة ومنتظرة بيرلو يرد انباء رحيل رونالدو يوفنتوس
2,مصادرنا تؤكد استقالة انييلي رئيس يوفنتوس منصبه
2,بهدفين بنزيما يقود الريال لفوز صعب الليغا
2,اتلتيكو مدريد ينفرد بصدارة الليغا
2,بايرن ميونيخ يعزز صدارته برقم تهديفي جديد لليفاندوفسكي
2,الدوري الالماني هدايا لايبزيج تضع بايرن ميونخ حافة اللقب
2,ليدز يفرض التعادل السلبي تشيلسي
2,عضو تنفيذية يويفا تستبعد اندية تشيلسي وسيتي وريال مدريد الموسم الحالي للابطال
2,الاولمبية الدولية توافق مجموعة اصلاحات لجعل الالعاب اكثر جاذبية
2,الاولمبية الدولية تمنع الحركات الاحتجاجية للرياضيين المنصات طوكيو وبكين
2,زيدان يثير الجدل بتصريحات عودة رونالدو لريال مدريد
2,ديبالا دخلت تحد رونالدو وقدوم ميسي ليوفنتوس صعب
2,وعد ناد روسي جمهورة بالحصول لقاح كورونا الروسي سبوتنيك ملعبه خلال الموسم
2,زفان يبلغ نصف نهائي كاس روسيا
2,الفرنسي كارتيرون يعود لتدريب الزمالك اشهر السعودية
2,الزمالك يهزم هليوبوليس ويتاهل لمواجهة الاهلي نهائي كاس مصر لكرة اليد
2,الخليفي نيمار ومبابي لديهما اعذار للرحيل باريس سان جيرمان
2,مدرب البرازيل يامل تحرير نيمار للمشاركة المنتخب الاولمبي
2,راموس قائد مدريد يدافع الحكام وتقنية الفيديو
2,رغم فوز فريقه راموس غاضب مباراة مدريد وليفربول
2,نافاس ينقذ باريس سان جيرمان امام برشلونة
2,نافاس نجم الشهر الدوري الفرنسي
2,مانشستر سيتي يكتسح ساوثهامبتون ويبتعد الصدارة
2,الدوري الانجليزي يصدر بيانا للرد اقامة دوري السوبر الاوروبي
2,العدالة لدييغو مسيرة ارجنتينية للتحقيق وفاة مارادونا
2,ميسي يكرر فعله مارادونا ويسجل الافضل تاريخ برشلونة
2,انساكم المغربي بلهندة يودع غلطة سراي ايام فسخ تعاقده
2,اصابة نجم غلطة سراي المصري بفيروس كورونا
2,لاعب برازيلي شهير يعاقب بالسجن سنوات بتهمة االاتهام بالاعتداء الجنسي
2,مدرب البرازيل يريد نيمار المنتخب اولمبياد طوكيو
2,البرازيل تصوت وضع اسم بيليه استاد ماراكانا الشهير
2,سلطات ريو تتراجع طلب اطلاق اسم بيليه ملعب ماراكانا
2,هالاند وكسر الارقام القياسية قصة عشق تنتهي
2,دورتموند يحدد المصير النهائي لـ هالاند
2,بورتو يحقق مفاجاة مدوية ويقصي يوفنتوس دوري الابطال
2,اليويفا يقرر مصير مدريد بدوري ابطال اوروبا
2,فيدرر يتطلع للمشاركة الاولمبياد اذا كانت ركبته بحالة جيدة
2,اولمبياد طوكيو القرعة تقسو مصر والسعودية
2,هالاند يقود بوروسيا دورتموند لربع نهائي دوري الابطال حساب اشبيلية
2,دورتموند يحبط احلام برشلونة وريال مدريد التعاقد هالاند
2,اليابان تقرر اقامة اولمبياد طوكيو بدون جماهير اجنبية خوفا انتشار فيروس كورونا
2,منع الرياضيين الركوع اولمبياد طوكيو
2,كرة القدم يواكيم لوف يؤكد انه سيتخلى تدريب منتخب المانيا كاس الامم الاوروبية
2,احباط وذهول عقب الهزيمة التاريخية لمنتخب المانيا امام مقدونيا الشمالية
2,انتر يحلق صدارة الدوري الايطالي
2,الانسحابات تتوالى انتر خارج دوري السوبر الاوروبي
2,يوفنتوس يواجه بورتو دوري ابطال اوروبا
2,مصادرنا تؤكد استقالة انييلي رئيس يوفنتوس منصبه
2,تشيلسي ضد ايفرتون توخيل يواصل تحقيق الانتصارات البلوز
2,تشيلسي وليفربول يتنافسان مقعد اوروبي انهيار حلم السوبر ليج
2,فرض غرامة مالية لايبزيغ بسبب تغيير ملعبه بدوري الابطال
2,اضطراب دوري السوبر اعتذار رسمي رئيس ليفربول
2,الهزيمة امام يونايتد اوقفت مسيرة قياسية الانتصارات حققها سيتي مدى ايام
2,عوامل تعزز عودة رونالدو الى مانشستر يونايتد
2,بهدف قاتل بنزيما ينقذ مدريد السقوط امام اتلتيكو الديربي
2,اتلتيكو مدريد وانتر ميلانو ينسحبان مشروع الدوري السوبر الاوروبي
2,ميلان يتخطى روما بثنائية مثيرة ويعزز وصافته للدوري الايطالي
2,رسميا ابراهيموفيتش يمدد عقده ميلان
2,ليفربول يواصل الانهيار ويخسر للمرة السادسة
2,ليفربول يتعاقد مدافع فرنسي لحل مشاكله الدفاعية
2,طريقة كوتينيو اسطورة ليفربول يطالب ببيع محمد صلاح لتمويل اعادة بناء الفريق
2,ازمة محمد صلاح كلوب يعلق انهيار ليفربول المحتمل
2,يوفنتوس يحافظ المركز الثالث بالكالتشيو بثلاثية شباك لاتسيو
2,يوفنتوس فرصة لاستكمال دوري السوبر الاوروبي
2,برشلونة يهزم اوساسونا ويشعل المنافسة لقب الليغا
2,اتلتيكو مدريد ينفرد بصدارة الليغا
2,دوري ابطال افريقيا الاهلي يتعثر امام سيمبا التنزاني ويسقط بهدف نظيف
2,الاهلي يتفوق اندية دوري ابطال افريقيا برقم مميز
2,بايرن يقلب الطاولة دورتموند ويتمسك بصدارة البوندسليغا
2,ليفاندوفسكي يعود لتشكيلة بايرن ميونخ عشية التتويج المرتقب بلقب الدوري
2,زيدان يؤكد عودة بنزيما الديربي ويصرح ستكون مواجهة
2,بالارقام رحيل رونالدو يفجر طاقة بنزيما الدوري الاسباني
2,عودة زلاتان الى صفوف منتخب السويد وشيكة
2,ميلان ينجح الحفاظ زلاتان
2,اوزيل يتعرض لاصابة بليغة
2,نهاية قصة اوزيل انجلترا ارسنال يتخلص العبء الثقيل
2,كاس ملك اسبانيا برشلونة يواجه اتلتيك بلباو وريال مدريد يصطدم بريال سوسيداد
2,مدريد يهنئ برشلونة بكاس الملك
2,ليفيربول يتعثر امام تشيلسي ويبتعد دوري ابطال اوروبا
2,بطولة انكلترا تشلسي يتعثر وقع احتجاجات معارضة للبطولة المستقلة
2,قطار انتر ميلان يدهس بارما بثنائية سانشيز ويعزز صدارته للدوري الايطالي
2,يوفنتوس يعود الى المركز الثالث انتصاره بارما
2,ايفرتون يدخل المربع الذهبي بالفوز ويست بروميتش
2,خطا مضحك يورط ارسنال امام ايفرتون
2,المحكمة الاوروبية تلزم مدريد وبرشلونة بدفع الملايين ضرائب متاخرة
2,مدريد برشلونة وحدهما للدفاع دوري السوبر الاوروبي
2,ردة فعل ميسي المجنونة هدف بيكيه الثمين شباك اشبيلية
2,ميسي يحدد استراتيجيته بشان مستقبله برشلونة
2,خبير تحكيمي يحسم الجدل ركلة الجزاء الغير محتسبة لبرشلونة امام اشبيلية
2,اشبيلية يحمي جوهرته انظار برشلونة
2,بيرنلي يحرم ليستر سيتي وصافة الدوري الانجليزي
2,يونايتد يواجه بيرنلي فى البريميرليج
2,مانشستر سيتي يكتسح توتنهام ويوسع الفارق صدارة البريميرليج
2,نوريتش سيتي يعود الى البريميرليغ
2,رونالدو ينقذ يوفنتوس فخ سبيزيا وميلان يعزز صدارته للدوري الايطالي
2,يوفنتوس يدرس تعاونا ضخما مدريد وبرشلونة
2,بسبب استغلال السلطات كاداة دعائية الايرانية كيميا علي زادة تقرر تمثيل فريق اللاجئين اولمبياد طوكيو
2,اللجنة الاولمبية الدولية توافق موسيقى تشايكوفسكي بديلا للنشيد الروسي اولمبياد طوكيو
2,رابطة الليجا تلزم برشلونة واتلتيكو بتقليل النفقات وتستثني الريال
2,نصف مليار نفقات برشلونة رواتب لاعبيه
2,نريد تنظيم المونديال رئيس وزراء بريطانيا يعلن جاهزية بلاده لـ
2,استبعاد مدينة بلباو تنظيم
2,مدريد يهدر نقطتين ثمينتين صراعه للمنافسة لقب الليغا بتعادله امام
2,مدريد يحسم الكلاسيكو ويلتحق باتلتيكو صدارة الليغا
2,ليفربول يفرط صلاح لاحد قطبى اسبانيا
2,شرط جزائي مخيف عقد بيدري برشلونة يبعد ليفربول
2,الشرطة الاسبانية تداهم مقر نادي برشلونة واعتقال الرئيس السابق
2,برشلونة يوضح اسباب عدم انسحابه السوبرليج
2,سيميوني مدريد منافس تاريخي ومستعدون للمواجهة
2,سيميوني يتفق ادارة اتلتيكو قرار الانسحاب دوري السوبر الاوروبي
2,مانشستر سيتي يصل للفوز التوالي بتغلبه وست هام
2,مانشستر سيتي قلق حول نجمه دي بروين
2,يوفنتوس يتعادل هيلاس فيرونا ويمنح منافسيه فرصة ذهبية بصراع الدوري الايطالي
2,يوفنتوس يتقدم بعرض لضم دوناروما
2,مبابي يقود باريس لسحق ديجون برباعية الدوري الفرنسي
2,رئيس مدريد نستطيع التعاقد مبابي وهالاند بدون دوري السوبر
2,ليفاندوفسكي يحقق رقما تهديفيا جديدا ويقود بايرن ميونخ لتعزيز صدارته
2,الاصابة تحرم بايرن جهود ليفاندوفسكي الوقت الحرج
2,مانشستر لسيتي يواصل انتصاراته وينفرد بصدارة البريميرليغ
2,السيتي يضم نيمار جديدا
2,ليستر يغادر الدوري الاوروبي وتاهل ميلان ويونايتد وروما
2,فريقا تتنافس مقاعد دور الـ بالدوري الاوروبي
2,الدوري الاوروبي تاهل ارسنال وميلان ومانشستر يونايتد لدور الـ وخروج ليستر سيتي
2,تعادل مثير ارسنال وسلافيا براج ربع نهائي الدوري الاوروبي
2,برشلونة يسحق خيتافي ويستعيد المركز الثالث
2,يثار قادش ويتصدر الليغا مؤقتا
2,رحلة الثراء الى حافة الافلاس مايك تايسون يزرع الماريجوانا ويجني ارباحا ضخمة
2,مايك تايسون يريد مواجهة هوليفيلد ولينوكس لويس وتايسون فيوري
2,بايرن يجدد فوزه لاتسيو ويصل الى ربع نهائي ابطال اوروبا
2,الدوري الايطالي نابولي يكتسح لاتسيو
2,ميسي يواسي رونالدينيو الم وفاة والدته برسالة عاطفية
2,رقم مسبوق لميسي الليغا
2,مانشستر سيتي يهزم ارسنال ويحلق الصدارة
2,مدرب ارسنال يواسي حارسه تسببه خسارة الفريق كلنا نرتكب اخطاء
2,انتر يضرب ميلان بثلاثية ديربي الغضب ويعزز صدارته لـ الدوري الايطالي
2,نابولي يدخل الصراع وصافة الدوري الايطالي
2,ليفربول يسقط مجددا للمرة السادسة التوالي ملعبه امام فولهام
2,هنري مالك ليفربول يتقدم بالاعتذار ازمة دوري السوبر
2,ليفانتي يتعادل اتلتيكو مدريد ويحرمه الابتعاد الصدارة
2,ترتيب الدوري الاسباني مباراتا اتلتيكو مدريد وبرشلونة تحسم الصراع
2,تتويج اليابانية اوساكا بلقب استراليا المفتوحة للتنس الفوز الامريكية برادي
2,بطولة استراليا للتنس جوكوفيتش يحرز اللقب للمرة التاسعة اثر فوزه الروسي مدفيديف النهائي
2,بسبب كورونا تاجيل التصفيات الاسيوية لكاس العالم الى
2,منتخب الشابات يواصل التحضير للتصفيات الاسيوية
2,ارسنال يتعادل بصعوبة بنفيكا وينتظر الاياب
2,ارسنال يفرض تعادلا قاتلا فولهام المهدد بالهبوط
2,بيرلسكوني ينصح ابراهيموفيتش بالبقاء ميلان
2,ميلان يؤمن نفسه فخ ابراهيموفيتش بشرط جزائي
2,رئيس اللجنة المنظمة لاولمبياد طوكيو يعتزم الاستقالة بسبب تصريحاته النساء
2,مصر تنتظر رد ليفربول لمشاركة صلاح اولمبياد طوكيو
2,سيرينا ويليامز تغادر المؤتمر الصحفي بالبكاء هزيمتها نصف نهائي بطولة استراليا المفتوحة
2,سيرينا ويليامز تشيد بالحجر الصحي الصارم استراليا المفتوحة
2,مانشستر سيتي يعزز صدارته للدوري الانجليزي بالفوز استون فيلا
2,اصغر مدرب تاريخ الدوري الانجليزي يعادل رقم مورينيو توتنام يفوز ساوثامبتون
2,بورتو يكسب يتغلب يوفنتوس ذهاب ثمن النهائي ودورتموند يهزم اشبيلية عقر داره
2,تشلسي يفوز بورتو ذهاب ربع نهائي ابطال اوروبا
2,ليفربول يتجاوز معاناته المحلية ويبلغ ربع نهائي ابطال اوروبا حساب لايبزيغ
2,محمد صلاح يدخل تاريخ ليفربول برقم جديد
2,ارقام تاريخية لـ مبابي وباريس سان جيرمان سحق برشلونة برباعية الكامب نو
2,مبابي يحسم امره ويبلغ سان جيرمان بقراره النهائي بشان مستقبله
2,طول انتظار لوكاكو يقود انتر ميلان الى صدارة الكالتشيو
2,ميلان واتليتيكو مدريد وانتر ميلان ينسحبون دوري السوبر الاوروبي
2,مدريد يستعيد المركز الثاني دوري الليغا
2,توخيل يحدد موقف كوفاسيتش المشاركة ضد مدريد
2,نابولي يهزم يوفنتوس وينضم للمربع الذهبي بالدوري الايطالي
2,الدوري الايطالي اتالانتا روما ولاتسيو نابولي
2,باريس سان جيرمان يهزم نيس بهدفين مواجهة برشلونة
2,موندو ديبورتيفو برشلونة يخطط لخطف موهبة باريس سان جيرمان مجانا
2,الدوري الاسباني اتلتيكو مدريد يعزز صدارته باسقاطه غرناطة
2,غرناطة يهزم برشلونة للمرة الاولى عاما
2,بايرن ميونيخ يهزم الاهلي بهدفين نظيفين ويتاهل لنهائي كاس العالم للاندية
2,اوروبا ترحب بفكرة كاس العالم للاندية النسائية لكرة القدم
2,باريس سان جيرمان يهزم مارسيليا اللقاء الـ بينهما
2,قمة ليون وموناكو ولقاء سهل لسان جيرمان ربع النهائي
2,نهائي مثير المغرب يحتفظ بلقب بطل امم افريقيا للمحليين
2,الزمالك يتاهل لنصف نهائي بطولة افريقيا للاندية للكرة الطائرة
2,تيغريس يقصي بالميراس ويتاهل الى نهائي مونديال الاندية
2,ليفاندوفسكي يتوج بجائزة افضل لاعب مونديال الاندية
2,مانشستر سيتي يسحق ليفربول برباعية انفيلد
2,مانشستر سيتي يقترب اللقب
2,يوفنتوس يهزم روما بثنائية وينتزع المركز الثالث بالدوري الايطالي
2,الدوري الايطالي تعادل مثير اتالانتا وروما
2,باريس سان جيرمان يهزم نيم اهداف فى الدوري الفرنسي وطرد مبابى
2,مبابي يحسم امره يبلغ سان جيرمان بقراره النهائي بشان مستقبله
1,خسائر الفيضانات المانيا تقدر بـ مليارات
1,عشرات القتلى ومئات المفقودين فيضانات اوروبا وجهود متواصلة للانقاذ
1,ارتفاع حصيلة ضحايا فيضانات الى قتيلا
1,ولي عهد ابوظبي يبحث السعودية سبل انتاج النفط
1,الامارات تنفي التوصل لتسوية السعودية بشان اتفاق انتاج النفط
1,رغم احتدام المعارك محادثات السلام الحكومة الافغانية وطالبان
1,استئناف محادثات السلام الافغانية الحكومة وطالبان
1,النمسا اصابة عشرات دبلوماسيين امريكيين باعراض تشبه متلازمة هافانا
1,النمسا وامريكا تحققان باصابة مسؤولين بمتلازمة هافانا
1,قتلى وجرحى جراء انهيار ارضي الهند
1,استئناف البحث ضحايا انهيار ارضي الهند
1,موجة كورونا جديدة ادت الى ارتفاع عدد الاصابات بشكل هائل مختلف بلدان العالم
1,تحذيرات جديدة موجة جديدة لجائحة كورونا
1,ذكرت مصادر صحفية مصرية ان قوات الامن المصرية قامت باخلاء سبيل عدد المعتقلين السياسيين
1,اعتقال سياسيين تعسفيا مصر
1,طالبان تسعى لاتفاق واشنطن
1,الولايات المتحدة ترحب بالمحادثات الافغانية قطر
1,فشل التوصل لاتفاق حول السجناء الولايات المتحدة ايران
1,ايران تعلن التوصل لاتفاق افراج سجناء اميركا
1,اقتحم مئات المستوطنين ساحات المسجد الاقصى بحماية الجيش الاسرائيلي
1,اسرائيل تقرر منع دخول المستوطنين الى الاقصى
1,تعهد رئيس الوزراء الاثيوبي بتدمير جبهة تيغراي
